mpg;l/100km;cylinders;displacement_(cu_in);displacement_(cc);horsepower;weight_(lb);weight_(kg);acceleration_(0-60mph);model_year;car_name;
19.1;12.32;6;225;3687.09;90;3381;1533.60;18.7;1980;dodge_aspen;
34.3;6.86;4;97;1589.55;78;2188;992.46;15.8;1980;audi_4000;
29.8;7.89;4;134;2195.87;90;2711;1229.69;15.5;1980;toyota_corona_liftback;
31.3;7.52;4;120;1966.45;75;2542;1153.03;17.5;1980;mazda_626;
37.0;6.36;4;119;1950.06;92;2434;1104.04;15;1980;datsun_510_hatchback;
32.2;7.31;4;108;1769.80;75;2265;1027.39;15.2;1980;toyota_corolla;
46.6;5.05;4;86;1409.29;65;2110;957.08;17.9;1980;mazda_glc;
27.9;8.43;4;156;2556.38;105;2800;1270.06;14.4;1980;dodge_colt;
40.8;5.77;4;85;1392.90;65;2110;957.08;19.2;1980;datsun_210;
44.3;5.31;4;90;1474.84;48;2085;945.74;21.7;1980;vw_rabbit_c_(diesel);
43.4;5.42;4;90;1474.84;48;2335;1059.14;23.7;1980;vw_dasher_(diesel);
36.4;6.46;5;121;1982.83;67;2950;1338.10;19.9;1980;audi_5000s_(diesel);
30.0;7.84;4;146;2392.51;67;3250;1474.18;21.8;1980;mercedes-benz_240d;
44.6;5.27;4;91;1491.22;67;1850;839.15;13.8;1980;honda_civic_1500_gl;
33.8;6.96;4;97;1589.55;67;2145;972.96;18;1980;subaru_dl;
29.8;7.89;4;89;1458.45;62;1845;836.88;15.3;1980;vokswagen_rabbit;
32.7;7.19;6;168;2753.03;132;2910;1319.95;11.4;1980;datsun_280-zx;
23.7;9.93;3;70;1147.09;100;2420;1097.69;12.5;1980;mazda_rx-7_gs;
35.0;6.72;4;122;1999.22;88;2500;1133.98;15.1;1980;triumph_tr7_coupe;
32.4;7.26;4;107;1753.42;72;2290;1038.73;17;1980;honda_accord;
27.2;8.65;4;135;2212.25;84;2490;1129.45;15.7;1981;plymouth_reliant;
26.6;8.84;4;151;2474.45;84;2635;1195.22;16.4;1981;buick_skylark;
25.8;9.12;4;156;2556.38;92;2620;1188.41;14.4;1981;dodge_aries_wagon_(sw);
23.5;10.01;6;173;2834.96;110;2725;1236.04;12.6;1981;chevrolet_citation;
30.0;7.84;4;135;2212.25;84;2385;1081.82;12.9;1981;plymouth_reliant;
39.1;6.02;4;79;1294.58;58;1755;796.05;16.9;1981;toyota_starlet;
39.0;6.03;4;86;1409.29;64;1875;850.49;16.4;1981;plymouth_champ;
35.1;6.70;4;81;1327.35;60;1760;798.32;16.1;1981;honda_civic_1300;
32.3;7.28;4;97;1589.55;67;2065;936.67;17.8;1981;subaru;
37.0;6.36;4;85;1392.90;65;1975;895.84;19.4;1981;datsun_210_mpg;
37.7;6.24;4;89;1458.45;62;2050;929.86;17.3;1981;toyota_tercel;
34.1;6.90;4;91;1491.22;68;1985;900.38;16;1981;mazda_glc_4;
34.7;6.78;4;105;1720.64;63;2215;1004.71;14.9;1981;plymouth_horizon_4;
34.4;6.84;4;98;1605.93;65;2045;927.60;16.2;1981;ford_escort_4w;
29.9;7.87;4;98;1605.93;65;2380;1079.55;20.7;1981;ford_escort_2h;
33.0;7.13;4;105;1720.64;74;2190;993.37;14.2;1981;volkswagen_jetta;
33.7;6.98;4;107;1753.42;75;2210;1002.44;14.4;1981;honda_prelude;
32.4;7.26;4;108;1769.80;75;2350;1065.94;16.8;1981;toyota_corolla;
32.9;7.15;4;119;1950.06;100;2615;1186.14;14.8;1981;datsun_200sx;
31.6;7.44;4;120;1966.45;74;2635;1195.22;18.3;1981;mazda_626;
28.1;8.37;4;141;2310.58;80;3230;1465.10;20.4;1981;peugeot_505s_turbo_diesel;
30.7;7.66;6;145;2376.12;76;3160;1433.35;19.6;1981;volvo_diesel;
25.4;9.26;6;168;2753.03;116;2900;1315.42;12.6;1981;toyota_cressida;
24.2;9.72;6;146;2392.51;120;2930;1329.03;13.8;1981;datsun_810_maxima;
22.4;10.50;6;231;3785.41;110;3415;1549.02;15.8;1981;buick_century;
26.6;8.84;8;350;5735.47;105;3725;1689.63;19;1981;oldsmobile_cutlass_ls;
20.2;11.65;6;200;3277.41;88;3060;1387.99;17.1;1981;ford_granada_gl;
17.6;13.37;6;225;3687.09;85;3465;1571.70;16.6;1981;chrysler_lebaron_salon;
28.0;8.40;4;112;1835.35;88;2605;1181.61;19.6;1982;chevrolet_cavalier;
27.0;8.71;4;112;1835.35;88;2640;1197.48;18.6;1982;chevrolet_cavalier_wagon;
34.0;6.92;4;112;1835.35;88;2395;1086.35;18;1982;chevrolet_cavalier_2-door;
31.0;7.59;4;112;1835.35;85;2575;1168.00;16.2;1982;pontiac_j2000_se_hatchback;
29.0;8.11;4;135;2212.25;84;2525;1145.32;16;1982;dodge_aries_se;
27.0;8.71;4;151;2474.45;90;2735;1240.58;18;1982;pontiac_phoenix;
24.0;9.80;4;140;2294.19;92;2865;1299.54;16.4;1982;ford_fairmont_futura;
36.0;6.53;4;105;1720.64;74;1980;898.11;15.3;1982;volkswagen_rabbit_l;
37.0;6.36;4;91;1491.22;68;2025;918.52;18.2;1982;mazda_glc_custom_l;
31.0;7.59;4;91;1491.22;68;1970;893.58;17.6;1982;mazda_glc_custom;
38.0;6.19;4;105;1720.64;63;2125;963.88;14.7;1982;plymouth_horizon_miser;
36.0;6.53;4;98;1605.93;70;2125;963.88;17.3;1982;mercury_lynx_l;
36.0;6.53;4;120;1966.45;88;2160;979.76;14.5;1982;nissan_stanza_xe;
36.0;6.53;4;107;1753.42;75;2205;1000.17;14.5;1982;honda_accord;
34.0;6.92;4;108;1769.80;70;2245;1018.31;16.9;1982;toyota_corolla;
38.0;6.19;4;91;1491.22;67;1965;891.31;15;1982;honda_civic;
32.0;7.35;4;91;1491.22;67;1965;891.31;15.7;1982;honda_civic_(auto);
38.0;6.19;4;91;1491.22;67;1995;904.92;16.2;1982;datsun_310_gx;
25.0;9.41;6;181;2966.06;110;2945;1335.83;16.4;1982;buick_century_limited;
38.0;6.19;6;262;4293.41;85;3015;1367.58;17;1982;oldsmobile_cutlass_ciera_(diesel);
26.0;9.05;4;156;2556.38;92;2585;1172.54;14.5;1982;chrysler_lebaron_medallion;
22.0;10.69;6;232;3801.80;112;2835;1285.93;14.7;1982;ford_granada_l;
32.0;7.35;4;144;2359.74;96;2665;1208.82;13.9;1982;toyota_celica_gt;
36.0;6.53;4;135;2212.25;84;2370;1075.01;13;1982;dodge_charger_2.2;
27.0;8.71;4;151;2474.45;90;2950;1338.10;17.3;1982;chevrolet_camaro;
27.0;8.71;4;140;2294.19;86;2790;1265.52;15.6;1982;ford_mustang_gl;
44.0;5.35;4;97;1589.55;52;2130;966.15;24.6;1982;vw_pickup;
32.0;7.35;4;135;2212.25;84;2295;1040.99;11.6;1982;dodge_rampage;
28.0;8.40;4;120;1966.45;79;2625;1190.68;18.6;1982;ford_ranger;
31.0;7.59;4;119;1950.06;82;2720;1233.77;19.4;1982;chevy_s-10;
